,Обводненность_для_расчета_PVT_параметров,Глубина_по_стволу_cs,Внутренний_диаметр_эксплуатационной_колонны_cs,Внутренняя_шероховатость_эксплуатационной_колонны_cs,Глубина_по_стволу,Внутренний_диаметр_НКТ,Внутренняя_шероховатость_НКТ,Внешний_диаметр_НКТ,Внутренний_диаметр_эксплуатационной_колонны,FILTERED_MD_LAST_VALUE,FILTERED_TVD_LAST_VALUE,Газовый_фактор,Коэффициент_продуктиности,Глубина_спуска_ЭЦН_по_стволу_MD,Частота_ЭЦН,Количество_ступеней,Коэффициент_износа,Содержание_растворенного_газа,Плотность_нефти,Удельный_вес_газа,Корреляция_вязкости_нефти,Пластовое_давление
0,1.200000048,3026.0,0.113,0.0001524,2851.75,0.062,0.0001524,0.073,0.1598,3026.0,3025.8,187.626420312,5.967998276,2851.749876563,60.0,354,0.899999976,143.899994995,867.399978143,0.879400015,1,300.103132602
1,89.0,3160.0,0.1596,1.524e-05,3145.0,0.062,1.524e-05,0.073,0.1596,3960.0,2951.11,56.011298767,5.503470146,3144.999921094,46.0,401,0.0,255.13300127,858.935000863,0.661599994,1,218.711452026
2,61.099998474,3160.0,0.1596,1.524e-05,3145.0,0.062,1.524e-05,0.073,0.1596,3960.0,2951.11,271.653505225,6.423727835,3144.999921094,57.0,375,0.5,255.13300127,858.935000863,0.661599994,1,160.364419418
3,94.150001526,3491.9,0.1596,0.0001524,3135.0,0.062,0.0001524,0.073,0.1596,3491.9,2969.31,2093.406536719,0.574878576,3134.999861719,47.0,418,-0.050000001,255.13200625,858.935000863,0.661599994,2,187.037349091
4,82.199996948,3490.6,0.1596,0.0001524,3149.0,0.062,0.0001524,0.073,0.1596,3625.24,3120.53,1185.995446875,4.112800927,3149.000123437,51.200000763,404,0.200000003,255.13200625,858.935000863,0.661599994,2,186.350903314
5,79.400001526,3490.6,0.1596,0.0001524,3149.0,0.062,0.0001524,0.073,0.1596,3625.24,3120.53,901.919447266,20.224315985,3149.000123437,48.400001526,375,0.0,255.13200625,858.935000863,0.661599994,2,240.285156779
6,100.0,3344.863028571429,0.1557371428571428,0.0001022386285714,2938.444124293785,0.062795293220339,0.0001137439548022,0.0737022598870056,0.1582350282485875,3870.0,3133.0,285.943002344,1.000000027,0.0,0.0,0,0.0,285.943002344,833.945999661,0.993130028,0,167.719084989
7,93.150001526,3558.2,0.1596,0.0001524,3092.0,0.062,0.0001524,0.073,0.1596,4003.0,3094.83,1384.959119727,3.288748328,3092.000142187,49.599998474,372,0.109999999,255.13200625,858.935000863,0.661599994,2,109.862352758
8,47.200000763,3158.0,0.1596,0.0001524,2899.97,0.062,0.0001524,0.073,0.1596,3200.0,3111.43,1032.332244531,0.813329273,2899.969891406,56.799999237,401,0.0,255.13200625,858.935000863,0.661599994,2,192.234642504
9,85.599998474,3097.0,0.1596,0.0001524,2967.5,0.062,0.0001524,0.073,0.1596,3266.0,3252.97,746.204774219,2.029685471,2967.500057813,55.700000763,401,0.430000007,255.13200625,858.935000863,0.661599994,2,193.215276924
10,50.700000763,3583.0,0.1596,0.0001524,2835.8,0.062,0.0001524,0.073,0.1596,3583.0,3071.89,256.000009375,1.198850457,2835.799966406,55.700000763,401,0.370000005,255.13200625,858.935000863,0.661599994,2,203.021486464
11,5.900000095,3710.0,0.1596,0.0001524,3309.71,0.062,0.0001524,0.073,0.1596,3710.0,3037.91,4814.354760156,0.188660486,0.0,0.0,0,0.0,255.13200625,858.935000863,0.661599994,2,153.009753847
12,15.600000381,3875.0,0.16,0.0001524,3032.06,0.062,0.0001524,0.073,0.16,3875.0,3068.91,1602.028687109,1.30631339,0.0,0.0,0,0.0,255.13200625,858.935000863,0.661599994,2,186.056731504
13,85.0,3175.63,0.1596,1.524e-05,3042.45,0.062,1.524e-05,0.073,0.1596,3180.0,3065.73,81.999997595,7.27534414,3042.449901563,55.0,404,0.029999999,173.299999316,847.000006759,0.66267997,2,305.006254204
14,95.099998474,3300.0,0.1596,0.0001524,3163.85,0.062,0.0001524,0.073,0.1596,3320.0,3063.63,2195.572027344,5.260157563,3163.849896094,52.0,354,0.100000001,285.943002344,833.945999661,0.993130028,0,124.571692316
15,98.900001526,3427.0,0.1596,0.0001524,3047.78,0.062,0.0001524,0.073,0.1596,3427.0,3022.7,10929.717457812,1.119744688,3047.780032031,55.0,418,-0.029999999,195.277990723,1035.999999665,0.811839998,0,163.796597807
16,61.0,3592.0,0.1596,1.524e-05,3065.24,0.062,1.524e-05,0.073,0.1596,3592.0,3075.43,239.738837793,7.179291612,3065.239952344,35.0,334,0.0,173.299999316,847.000006759,0.66267997,2,280.490679857
17,59.549999237,3307.0,0.1596,1.524e-05,3115.4,0.062,1.524e-05,0.073,0.1596,3307.0,3116.08,256.000009375,3.929894402,3115.350084375,37.5,404,0.0,173.299999316,847.000006759,0.66267997,2,319.715585347
18,95.099998474,3674.16,0.1086,1.524e-05,3383.55,0.062,1.524e-05,0.073,0.159,3674.16,3076.72,2496.919489453,5.281963768,3383.549974219,54.0,490,-0.02,255.13200625,858.934961084,0.661599994,2,126.532935908
19,74.699996948,3323.0,0.1596,0.0001524,3210.78,0.062,0.0001524,0.073,0.1596,3372.0,3094.41,817.147244141,1.44080991,3210.77986875,52.0,396,0.02,285.943002344,833.945999661,0.993130028,0,117.118958253
20,59.0,3120.0,0.1596,0.0001524,2929.87,0.062,0.0001524,0.073,0.1596,3220.0,3119.47,3356.620344531,0.163156386,2929.870057031,59.0,401,0.109999999,285.943002344,833.945999661,0.993130028,0,231.459547994
21,42.5,3596.39,0.1596,0.0001524,3290.81,0.062,0.0001524,0.073,0.1596,3705.0,3111.4,637.962699316,2.199996692,3291.000014063,49.799999237,404,0.430000007,255.13200625,858.935000863,0.661599994,2,167.032639211
22,76.599998474,3163.42,0.1596,1.524e-05,2935.16,0.062,1.524e-05,0.073,0.1596,3163.42,3038.77,2719.169647656,0.372306834,2935.160003906,59.099998474,406,0.449999988,285.943002344,833.945999661,0.993130028,0,165.757832981
23,100.0,1172.0,0.16,0.0001524,494.0,0.062,0.0001524,0.073,0.16,4130.0,3128.26,104.64679895,10.180200125,0.0,0.0,0,0.0,255.13200625,858.935000863,0.661599994,0,99.075508798
24,100.0,3253.0,0.16,0.0001524,3138.0,0.0677368,0.0001524,0.079,0.16,3265.0,3094.14,0.0,1.463580005,0.0,0.0,0,0.0,285.943002344,833.945999661,0.993130028,0,293.238775824
25,86.900001526,3288.1,0.1596,0.0001524,3017.32,0.062,0.0001524,0.073,0.1596,3320.0,3063.63,269.999999072,0.523441381,3017.319975,55.0,400,0.140000001,285.943002344,833.945999661,0.993130028,0,194.195894511
26,86.0,3184.0,0.1596,0.0001524,2945.0,0.062,0.0001524,0.073,0.1596,3190.0,3024.7,16368.750325,0.097766893,2949.729979687,50.0,406,0.0,285.943002344,833.945999661,0.993130028,0,185.370285726
27,86.800003052,3610.0,0.1596,0.0001524,3258.55,0.062,1.524e-05,0.073,0.1596,3890.0,3077.02,3002.573360156,0.831798355,3258.550125,57.0,375,0.07,255.13200625,858.935000863,0.661599994,2,135.06435605
28,92.300003052,3564.1,0.1596,0.0001524,3187.17,0.0647,0.0001524,0.0757,0.1596,3667.0,3082.18,3092.145883594,1.498974679,3186.489928125,56.200000763,401,0.310000002,255.13200625,858.935000863,0.661599994,2,119.66857913
29,66.199996948,3580.0,0.1596,1.524e-05,3180.0,0.062,1.524e-05,0.073,0.1596,3807.0,3082.46,511.77851875,2.077265319,3180.000128906,59.0,401,0.340000004,255.13200625,858.935000863,0.661599994,2,110.842978761
30,46.25,3555.0,0.1596,0.0001524,3377.0,0.062,0.0001524,0.073,0.1596,3605.0,3085.72,4542.616829688,0.46784773,0.0,0.0,0,0.0,185.24799917,859.030003704,0.667810023,1,214.788964844
31,45.099998474,3368.0,0.1596,0.0001524,2763.4,0.062,0.0001524,0.073,0.1596,3790.0,3061.67,525.999986816,0.44973442,2763.40014375,50.0,418,0.230000004,255.13200625,858.935000863,0.661599994,2,282.648052015
32,34.75,3448.0,0.1596,0.0001524,3379.8,0.062,0.0001524,0.073,0.1596,3848.0,3068.16,2561.663939453,0.917062683,0.0,0.0,0,0.0,255.13200625,858.935000863,0.661599994,2,143.889956419
