"","WELLNAME","EMULSION_MODEL","EMULSION_WCT","EMULSION_OCCURENCE","VISCOCITY_PUMP_CORRECTION","EXPERIMENTAL_PRES","EXPERIMENTAL_TEMP","MIN_WCT_FOR_MAX_VISC","MAX_WCT_FOR_MAX_VISC","P1","P2","P3","P4","P5","STD","POINTS_COUNT","MIN_WCT_IN_DATA","MAX_WCT_IN_DATA","MIN_VISCOSITY_IN_DATA","MAX_VISCOSITY_IN_DATA"
"COLUMN_LABELS","Имя_скважины","Модель_эмульсии","Обводненность_для_расчета_PVT_параметров","Место_образования_эмульсии","Поправка_на_вязкость_в_ЭЦН","Давление_эксперимента_исследования_эмульсии","Температура_эксперимента_исследования_эмульсии","Минимальная_обводненность_для_полки_вязкости_эмульсии","Максимальная_обводненность_для_полки_вязкости_эмульсии","Коэффициент_адаптации_P1","Коэффициент_адаптации_P2","Коэффициент_адаптации_P3","Коэффициент_адаптации_P4","Коэффициент_адаптации_P5","Стандартное_отклонение","Количество_лабораторных_точек","Минимальная_обводненность_экспериментов_эмульсии","Максимальная_обводненность_экспериментов_эмульсии","Минимальная_вязкость_экспериментов_эмульсии","Максимальная_вязкость_экспериментов_эмульсии"
"1-Tunj","1-Tunj","No","1.200000048","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1001_AR","1001_AR","No","89","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1003_AR","1003_AR","No","61.099998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1004_AR","1004_AR","No","94.150001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1009_AR","1009_AR","No","82.199996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1009_AR_FPZ","1009_AR_FPZ","No","79.400001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"100_URM_INJ","100_URM_INJ","No","100","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1010_AR","1010_AR","No","93.150001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1011_AR","1011_AR","No","47.200000763","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
