"","INDEX","WELLNAME","MD","TVD","ZENITH"
"COLUMN_LABELS","Индекс","Имя_скважины","Глубина_по_стволу","Глубина_по_вертикали","Зенитный_угол"
"0_1-Tunj","0","1-Tunj","0","0","0.42124789758236"
"1_1-Tunj","1","1-Tunj","370","369.99","0.42124789758236"
"2_1-Tunj","2","1-Tunj","380","379.99","0"
"3_1-Tunj","3","1-Tunj","3020","3019.8","0.68740877537622"
"4_1-Tunj","4","1-Tunj","3026","3025.8","0"
"0_1001_AR","0","1001_AR","0","-126.56","0.47581691762195"
"1_1001_AR","1","1001_AR","290","163.43","0.47581691762195"
"2_1001_AR","2","1001_AR","300","173.43","0"
"3_1001_AR","3","1001_AR","510","383.13","3.0629529488799"
"4_1001_AR","4","1001_AR","610","481.45","10.51724920929"
"5_1001_AR","5","1001_AR","680","548.13","17.716962782194"
"6_1001_AR","6","1001_AR","2870","2564.32","22.980951717095"
"7_1001_AR","7","1001_AR","2920","2606.57","32.328064122162"
"8_1001_AR","8","1001_AR","2970","2645.43","38.995079859689"
"9_1001_AR","9","1001_AR","3030","2686.8","46.409457441861"
"10_1001_AR","10","1001_AR","3130","2748.4","51.975381945358"
"11_1001_AR","11","1001_AR","3360","2874.22","56.835581298165"
"12_1001_AR","12","1001_AR","3410","2893.66","67.120147516088"
"13_1001_AR","13","1001_AR","3590","2942.26","74.335733148626"
"14_1001_AR","14","1001_AR","3660","2953.55","80.718468451955"
"15_1001_AR","15","1001_AR","3740","2955.89","88.323859384104"
"16_1001_AR","16","1001_AR","3950","2951.2","91.279712139493"
"17_1001_AR","17","1001_AR","3960","2951.11","90.515668977307"
"0_1003_AR","0","1003_AR","0","-126.56","0.47581691762195"
"1_1003_AR","1","1003_AR","290","163.43","0.47581691762195"
"2_1003_AR","2","1003_AR","300","173.43","0"
"3_1003_AR","3","1003_AR","510","383.13","3.0629529488799"
"4_1003_AR","4","1003_AR","610","481.45","10.51724920929"
"5_1003_AR","5","1003_AR","680","548.13","17.716962782194"
"6_1003_AR","6","1003_AR","2870","2564.32","22.980951717095"
"7_1003_AR","7","1003_AR","2920","2606.57","32.328064122162"
"8_1003_AR","8","1003_AR","2970","2645.43","38.995079859689"
"9_1003_AR","9","1003_AR","3030","2686.8","46.409457441861"
"10_1003_AR","10","1003_AR","3130","2748.4","51.975381945358"
"11_1003_AR","11","1003_AR","3360","2874.22","56.835581298165"
"12_1003_AR","12","1003_AR","3410","2893.66","67.120147516088"
"13_1003_AR","13","1003_AR","3590","2942.26","74.335733148626"
"14_1003_AR","14","1003_AR","3660","2953.55","80.718468451955"
"15_1003_AR","15","1003_AR","3740","2955.89","88.323859384104"
"16_1003_AR","16","1003_AR","3950","2951.2","91.279712139493"
"17_1003_AR","17","1003_AR","3960","2951.11","90.515668977307"
"0_1004_AR","0","1004_AR","0","-126.44","0.87139980293098"
"1_1004_AR","1","1004_AR","259.4","132.93","0.87139980293098"
"2_1004_AR","2","1004_AR","284","157.44","4.9025702689387"
"3_1004_AR","3","1004_AR","357.9","230.49","8.6984531126382"
"4_1004_AR","4","1004_AR","481","349.99","13.890694798947"
"5_1004_AR","5","1004_AR","2282.9","2092.68","14.728763283252"
"6_1004_AR","6","1004_AR","2506.2","2312.41","10.259062737768"
"7_1004_AR","7","1004_AR","2553.5","2356.38","21.627714996571"
"8_1004_AR","8","1004_AR","2799.5","2581.95","23.515636320449"
"9_1004_AR","9","1004_AR","2873.1","2644.69","31.521323205214"
