"","WELLNAME","RAW_DATA_IS_AVAILABLE","FILTERED_DATA_COUNT","RAW_DATA_COUNT","RAW_FILTER_DATATYPE","INITIAL_FILTER_ANGLE","ACTUAL_FILTER_ANLGE","ANGLE_STEP","MAX_NUM_OF_POINTS_TO_FILTER","FILTERED_UNCORRECT_TVD_FLAG","RAW_UNCORRECT_TVD_FLAG","FILTERED_MD_FIRST_VALUE","RAW_MD_FIRST_VALUE","FILTERED_MD_LAST_VALUE","RAW_MD_LAST_VALUE","FILTERED_TVD_FIRST_VALUE","RAW_TVD_FIRST_VALUE","FILTERED_TVD_LAST_VALUE","RAW_TVD_LAST_VALUE","RAW_ANGLE_FIRST_VALUE","RAW_ANGLE_LAST_VALUE","FILTERED_MAX_ZENITH_ANGLE","RAW_MAX_ZENITH_ANGLE","FILTERED_AVG_ZENITH_ANGLE","RAW_AVG_ZENITH_ANGLE","FILTERED_MAX_DOG_LEG_DEGREES_BY_10_M","RAW_MAX_DOG_LEG_DEGREES_BY_10_M","FILTERED_MD_OF_MAX_DOG_LEG","RAW_MD_OF_MAX_DOG_LEG","FILTERED_TVD_OF_MAX_DOG_LEG","RAW_TVD_OF_MAX_DOG_LEG","MEAN_MD_DEVIATION_FROM_RAW_INCLINOMETRY","MIN_MD_DEVIATION_FROM_RAW_INCLINOMETRY","MAX_MD_DEVIATION_FROM_RAW_INCLINOMETRY","R2_SCORE_OF_FILTERED_AND_ROW_INCLINOMETRY","FILTERED_INCLINOMETRY_AUC","RAW_INCLINOMETRY_AUC","AUC_RATIO_TO_RAW","AUC_RATIO_TO_RAW_WITH_SAME_MD"
"COLUMN_LABELS","Имя_скважины","Флаг_наличия_исходной_инклинометрии","Количество_точек_отфильтрованной_инклинометрии","Количество_точек_исходной_инклинометрии","Тип_координат_исходной_инклинометрии","Настроечный_угол_для_фильтрации","Фактический_угол_фильтрации","Шаг_угла","Максимальное_количество_точек_для_фильтрации","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1-Tunj","1-Tunj","1","5","304","MD/TVD","2","2.7","0.5","20","","","0","0","3026","3026","0","0","3025.8","3025.8","","","0.687","2.563","0.65874989390418","0.65874989390418","0.128","0.366","2142","1960","2141.8631893939","1959.88","0","0","0","1","4578057.65","4578066.8","0.99999800133978","0.99999800133978"
"1001_AR","1001_AR","1","18","402","MD/TVD","2","6.4","0.5","18","1","1","0","0","3960","3960","-126.56","-126.56","2951.11","2951.11","","","91.28","93.555","38.996045569116","38.996045569116","5.005","1.486","3883.3333333333","2940","2952.6888888889","2622.63","11.573","0","321.678","0.99687959101233","6653683.5","6651777.305","1.000286569275","1.000286569275"
"1003_AR","1003_AR","1","18","402","MD/TVD","2","6.4","0.5","18","1","1","0","0","3960","3960","-126.56","-126.56","2951.11","2951.11","","","91.28","93.555","38.996045569116","38.996045569116","5.005","1.486","3883.3333333333","2940","2952.6888888889","2622.63","11.573","0","321.678","0.99687959101233","6653683.5","6651777.305","1.000286569275","1.000286569275"
"1004_AR","1004_AR","1","19","147","MD/TVD","2","4.6","0.05","20","","","0","0","3491.9","3491.9","-126.44","-126.44","2969.31","2969.31","","","81.038","81.038","27.556912735102","27.556912735102","2.213","2.306","3441.5","3399.0466666667","2958.7121984436","2948.8463636364","0","0","0","1","5414887.346","5414789.33505","1.0000181006026","1.0000181006026"
"1009_AR","1009_AR","1","20","366","MD/TVD","2","5.1","0.05","20","1","1","0","0","3625.24","3625.24","0","0","3120.53","3120.53","","","92.516","92.516","30.59585254826","30.59585254826","12.788","8.36","3615.08","3618.4133333333","3120.57304","3120.7520666667","-0.668","0","18.609","0.99999516733727","6191134.9798","6190986.88825","1.0000239205078","1.0000239205078"
"1009_AR_FPZ","1009_AR_FPZ","1","20","366","MD/TVD","2","5.1","0.05","20","1","1","0","0","3625.24","3625.24","0","0","3120.53","3120.53","","","92.516","92.516","30.59585254826","30.59585254826","12.788","8.36","3615.08","3618.4133333333","3120.57304","3120.7520666667","-0.668","0","18.609","0.99999516733727","6191134.9798","6190986.88825","1.0000239205078","1.0000239205078"
"100_URM_INJ","100_URM_INJ","1","7","388","MD/TVD","2","26","0.5","18","","","0","0","3870","3870","0","0","3133","3133","0","0","39.884","45.573","35.946964904216","35.946964904216","4.054","3.692","3713.3333333333","360","2987.0888888889","355","0","0","0","1","6090715","6040165","1.0083689766753","1.0083689766753"
"1010_AR","1010_AR","1","20","403","MD/TVD","2","5.3","0.05","20","1","1","0","0","4003","4003","0","0","3094.83","3094.83","","","91.91","92.637","39.36441370766","39.36441370766","16.466","3.083","3834.3333333333","3450","3096.6032333333","3093.12","51.299","0","546.02","0.98788064439064","7353863.94","7356283.7216","0.99967105923431","0.99967105923431"
"1011_AR","1011_AR","1","17","321","MD/TVD","2","2.7","0.05","20","","","0","0","3200","3200","0","0","3111.43","3111.43","","","21.295","22.332","13.511786996167","13.511786996167","3.342","0.634","3106.6666666667","420","3018.2669230769","419.95","0","0","0","1","4984372.95","4984330.15","1.0000085869111","1.0000085869111"
"1012_AR","1012_AR","1","18","329","MD/TVD","2","2.7","0.05","20","","","0","0","3266","3266","0","0","3252.97","3252.97","","","13.815","14.76","5.1197203753716","5.1197203753716","0.881","0.897","3215.3333333333","510","3202.3835238095","509.97","0","0","0","1","5303055.5","5303161.3151","0.99998004678838","0.99998004678838"
"1013_AR","1013_AR","1","19","360","MD/TVD","2","6.5","0.05","20","","","0","0","3583","3583","0","0","3071.89","3071.89","","","44.735","47.778","30.979515702523","30.979515702523","17.932","3.052","3561","3577.6666666667","3050.6576666667","3066.719","0","0","0","1","5743580.055","5739456.905","1.0007183867861","1.0007183867861"
