"","WELLNAME","FLUID","FLUID_METHOD","SOLUTION_GOR","OIL_GRAVITY","GAS_GRAVITY","WATER_SALINITY","H2S_MOLE_PERCENT","CO2_MOLE_PERCENT","N2_MOLE_PERCENT","Pb_Rs_Bo_CORRELATION","OIL_VISCOSITY_CORRELATION","GAS_VISCOSITY_CORRELATION","SEPARATOR_PRES","SEPARATOR_TEMP","CGR_(FOR_GAS_AND_RETR_COND)","WGR_(FOR_GAS_AND_RETR_COND)","SEPARATOR_GOR","TANK_GOR","SEPARATOR_GAS_GRAV","TANK_GAS_GRAV","WATER_VISC_OPTION","WATER_VAPOUR_OPTION","RESERVOIR_TEMPERATURE","RESERVOIR_PRESSURE","DEW_POINT_AT_RES_TEMP","PVT_IS_MATCHED","NUM_OF_TABLES_FOR_PVT_MATCHING","MIN_TEMPERATURE_OF_PVT_MATCHING_TABLES","MAX_TEMPERATURE_OF_PVT_MATCHING_TABLES","MIN_PRESSURE_OF_PVT_MATCHING_TABLES","MAX_PRESSURE_OF_PVT_MATCHING_TABLES","USE_PVT_TABLES_(INSTEAD_OF_CORR)_FLAG","NUM_OF_TABLES_FOR_PVT_USED","MIN_TEMPERATURE_OF_PVT_USED_TABLES","MAX_TEMPERATURE_OF_PVT_USED_TABLES","MIN_PRESSURE_OF_PVT_USED_TABLES","MAX_PRESSURE_OF_PVT_USED_TABLES"
"COLUMN_LABELS","Имя_скважины","Флюид","Тип_флюида","Содержание_растворенного_газа","Плотность_нефти","Удельный_вес_газа","Соленость_воды","Мольная_доля_H2S","Мольная_доля_CO2","Мольная_доля_N2","Корреляция_давления_насыщения/газосодержания/объемного коэффициента","Корреляция_вязкости_нефти","Корреляция_вязкости_газа","Давление_сепаратора","Температура_сепаратора","Конденсатогазовый_фактор","Водогазовый_фактор","Газовый_фактор_на_сепараторе","Газовый_фактор_резервуара","Удельный_вес_газа_в_сепараторе","Удельный_вес_газа_в_пласте","Метод_определения_вязкости_воды","Активация_опции_учета_перехода_воды_в_газ","Пластовая_температура","Пластовое_давление","Давление_насыщения_при_T_пласта","Флаг_адаптации_PVT","Количество_таблиц_для_адаптации_PVT","Минимальная_температура_таблиц_адаптации_PVT","Максимальная_температура_таблиц_адаптации_PVT","Минимальное_давление_таблиц_адаптации_PVT","Максимальное_давление_таблиц_адаптации_PVT","Флаг_использования_интерполяции_PVT_таблиц_(вместо_адаптации)","Количество_таблиц_для_интерполяции_PVT","Минимальная_температура_таблиц_интерполяции_PVT","Максимальная_температура_таблиц_интерполяции_PVT","Минимальное_давление_таблиц_интерполяции_PVT","Максимальное_давление_таблиц_интерполяции_PVT"
"1-Tunj","1-Tunj","Oil and Water","Black Oil","143.899994995","867.399978143","0.879400015","44282.3984375","0","2.226999998","0.511600018","Glaso","Beggsetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","300.103132602","1.013253489","Yes","2","20","104","302.8","","No","0","","","",""
"1001_AR","1001_AR","Oil and Water","Black Oil","255.13300127","858.935000863","0.661599994","52555.19921875","0","0","0","Lasater","Beggsetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","218.711452026","1.013253489","Yes","1","103.999996382","103.999996382","326.994738516","326.994738516","No","0","","","",""
"1003_AR","1003_AR","Oil and Water","Black Oil","255.13300127","858.935000863","0.661599994","52555.19921875","0","0","0","Lasater","Beggsetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","160.364419418","1.013253489","Yes","1","103.999996382","103.999996382","326.994738516","326.994738516","No","0","","","",""
"1004_AR","1004_AR","Oil and Water","Black Oil","255.13200625","858.935000863","0.661599994","52555.23828125","0","0","0","Lasater","Petroskyetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","187.037349091","1.013253489","Yes","1","103.999996382","103.999996382","326.995007842","326.995007842","No","0","","","",""
"1009_AR","1009_AR","Oil and Water","Black Oil","255.13200625","858.935000863","0.661599994","52555.23828125","0","0","0","Lasater","Petroskyetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","186.350903314","1.013253489","Yes","1","103.999996382","103.999996382","326.995007842","326.995007842","No","0","","","",""
"1009_AR_FPZ","1009_AR_FPZ","Oil and Water","Black Oil","255.13200625","858.935000863","0.661599994","52555.23828125","0","0","0","Lasater","Petroskyetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","240.285156779","1.013253489","Yes","1","103.999996382","103.999996382","326.995007842","326.995007842","No","0","","","",""
"100_URM_INJ","100_URM_INJ","Oil and Water","Black Oil","285.943002344","833.945999661","0.993130028","1.019999981","0","1.230000019","0.5","Glaso","Bealetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","167.719084989","1.013253489","No","1","103.999996382","103.999996382","326.999653724","326.999653724","No","0","","","",""
"1010_AR","1010_AR","Oil and Water","Black Oil","255.13200625","858.935000863","0.661599994","52555.23828125","0","0","0","Lasater","Petroskyetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","109.862352758","1.013253489","Yes","1","103.999996382","103.999996382","326.995007842","326.995007842","No","0","","","",""
"1011_AR","1011_AR","Oil and Water","Black Oil","255.13200625","858.935000863","0.661599994","52555.23828125","0","0","0","Lasater","Petroskyetal","Leeetal","1.013253489","-17.777776","      0.00000000e+00","0","17720","0","0","0","Use Default Correlation","No Calculations","103.999996382","192.234642504","1.013253489","Yes","1","103.999996382","103.999996382","326.995007842","326.995007842","No","0","","","",""
