"","INDEX","WELLNAME","RATE_TYPE","DATE","COMMENT","THP","THT","WCT","RATE","GAUGE_DEPTH","GAUGE_PRES","RESERVOIR_PRESSURE","GOR","GOR_FREE","FREQUENCY","WEAR_FACTOR","INTAKE_PRESSURE","DISCHARGE_PRESSURE"
"COLUMN_LABELS","Индекс","Имя_скважины","Фаза_расхода","Дата_замера","Комментарий","Устьевое_давление","Устьевая_температура","Обводненность","Расход","Глубина_замера_MD","Давление_на_глубине_замера","Пластовое_давление","Газовый_фактор","Свободный_газовый_фактор","Частота_ЭЦН","Коэффициент_деградации_НРХ","Давление_приема_ЭЦН","Перепад_давления_ЭЦН"
"0_1-Tunj","0","1-Tunj","Liquid Rate","23/03/2022","Test","114.765","10","10","85","2850","213.808","304.026","300","0","46","0","213.808","2.9745"
"1_1-Tunj","1","1-Tunj","Liquid Rate","15/04/2022","Start ESP","28.0784","18","6.8","54","2850","180.467","300.103","341","0","45","0.71875","180.467","2.9745"
"2_1-Tunj","2","1-Tunj","Liquid Rate","02/05/2022","","33.3738","20.3","7.1","80","2850","132.417","300.103","150","0","42","0","132.417","2.9745"
"3_1-Tunj","3","1-Tunj","Liquid Rate","09/05/2022","","34.7467","28.9","14.1","48","2850","105.94","300.103","249","0","42","0.0429688","105.94","2.9745"
"4_1-Tunj","4","1-Tunj","Liquid Rate","12/05/2022","","32.3932","27.9","17.4","61","2850","99.0755","300.103","133","0","50","0.3","99.0755","2.9745"
"5_1-Tunj","5","1-Tunj","Liquid Rate","19/05/2022","","27.9804","29.1","10.6","41","2850","100.056","300.103","160","0","50","0.3","100.056","2.9745"
"6_1-Tunj","6","1-Tunj","Liquid Rate","22/05/2022","","29.7455","36.5","11.9","46","2850","88.2887","300.103","164","0","50","0.3","88.2887","2.9745"
"7_1-Tunj","7","1-Tunj","Liquid Rate","25/05/2022","","28.8629","29.3","10.3","55","2850","96.1336","300.103","142","0","50","0.3","96.1336","2.9745"
"8_1-Tunj","8","1-Tunj","Liquid Rate","28/05/2022","","26.1172","29","11.3","42","2850","90.2499","300.103","140","0","50","0.3","90.2499","2.9745"
"9_1-Tunj","9","1-Tunj","Liquid Rate","29/05/2022","","25.1366","32","11.1","37","2850","87.308","300.103","167","0","50","0.3","87.308","2.9745"
"10_1-Tunj","10","1-Tunj","Liquid Rate","30/05/2022","","24.5482","32","12.1","34","2850","89.2693","300.103","164","0","50","0.3","89.2693","2.9745"
"11_1-Tunj","11","1-Tunj","Liquid Rate","31/05/2022","","24.3521","30.8","12","32","2850","87.308","300.103","169.78","0","50","0.3","87.308","2.9745"
"12_1-Tunj","12","1-Tunj","Liquid Rate","01/06/2022","opressovka","25.5288","21","11.2","40","2850","58.5758","300.103","273.5","0","51","0.3","58.5758","2.9745"
"13_1-Tunj","13","1-Tunj","Liquid Rate","02/06/2022","fontan zatrub","29.2552","23","13.6","56","2850","67.6956","300.103","144","0","51","0.3","67.6956","2.9745"
"14_1-Tunj","14","1-Tunj","Liquid Rate","03/06/2022","","31.9029","11","5.8","46","2850","86.3274","300.103","116","0","51","0.3","86.3274","2.9745"
"15_1-Tunj","15","1-Tunj","Liquid Rate","04/06/2022","","30.3339","18","8.2","36","2850","82.8952","300.103","142","0","51","0.3","82.8952","2.9745"
"16_1-Tunj","16","1-Tunj","Liquid Rate","05/06/2022","do gidratov","29.5494","25.4","12.4","46","2850","82.4049","300.103","108","0","51","0.3","82.4049","2.9745"
"17_1-Tunj","17","1-Tunj","Liquid Rate","29/07/2022","","36.5853","10","0.1","88.75","2850","122.61","300.103","128.068","0","46","0","122.61","2.9745"
"18_1-Tunj","18","1-Tunj","Liquid Rate","29/08/2022","","32.7854","10","0.1","83","2850","70.1471","300.103","122.207","0","50.5","0.1","70.1471","2.9745"
"19_1-Tunj","19","1-Tunj","Liquid Rate","08/03/2023","","36.5118","10","4.4","200","2851.75","283.923","300.103","33.6888","0","44","0.7","283.923","2.9745"
"20_1-Tunj","20","1-Tunj","Liquid Rate","30/03/2023","","32.4912","10","4.5","208","2851.75","281.667","211.847","32.427","0","44","0.7","281.667","2.9745"
"21_1-Tunj","21","1-Tunj","Liquid Rate","24/03/2023","","37.0021","10","4.4","200","2851.75","282.06","295.2","33.6888","0","44","0.7","282.06","2.9745"
"22_1-Tunj","22","1-Tunj","Liquid Rate","30/03/2023","","32.4912","10","4.5","208","2851.75","281.667","295.2","32.427","0","44","0.7","281.667","2.9745"
"23_1-Tunj","23","1-Tunj","Liquid Rate","30/03/2023","","32.4912","10","4.5","208","2851.75","281.667","295.2","50.3423","0","44","0.7","281.667","2.9745"
"24_1-Tunj","24","1-Tunj","Liquid Rate","28/03/2023","","28.6668","10","4.5","215","2851.75","281.765","295.2","48.7033","0","44","0.7","281.765","2.9745"
"25_1-Tunj","25","1-Tunj","Liquid Rate","28/03/2023","","28.6668","10","4.5","215","2851.75","281.765","295.2","48.7033","0","44","0.7","281.765","2.9745"
