,WELLNAME,FILTERED_MD_LAST_VALUE,FILTERED_TVD_LAST_VALUE,Обводненность_для_расчета_PVT_параметров,Глубина_по_стволу_cs,Внутренний_диаметр_эксплуатационной_колонны_cs,Внутренняя_шероховатость_эксплуатационной_колонны_cs,Глубина_по_стволу,Внутренний_диаметр_НКТ,Внутренняя_шероховатость_НКТ,Внешний_диаметр_НКТ,Внутренний_диаметр_эксплуатационной_колонны,Газовый_фактор,Коэффициент_продуктиности,Забойное давление,Глубина_спуска_ЭЦН_по_стволу_MD,Коэффициент_износа,Содержание_растворенного_газа,Плотность_нефти,Удельный_вес_газа,Корреляция_вязкости_нефти,Пластовое_давление
0,1-Tunj,3026.0,3025.8,1.200000048,3026.0,0.113,0.0001524,2851.75,0.062,0.0001524,0.073,0.1598,187.626420312,5.967998276,133.769762686496,2851.749876563,0.899999976,143.899994995,867.399978143,0.879400015,1,300.103132602
1,1001_AR,3960.0,2951.11,89.0,3160.0,0.1596,1.524e-05,3145.0,0.062,1.524e-05,0.073,0.1596,56.011298767,5.503470146,20.7459709838503,3144.999921094,0.0,255.13300127,858.935000863,0.661599994,1,218.711452026
2,1003_AR,3960.0,2951.11,61.099998474,3160.0,0.1596,1.524e-05,3145.0,0.062,1.524e-05,0.073,0.1596,271.653505225,6.423727835,61.1579978542197,3144.999921094,0.5,255.13300127,858.935000863,0.661599994,1,160.364419418
3,1004_AR,3491.9,2969.31,94.150001526,3491.9,0.1596,0.0001524,3135.0,0.062,0.0001524,0.073,0.1596,2093.406536719,0.574878576,30.3486777793038,3134.999861719,-0.050000001,255.13200625,858.935000863,0.661599994,2,187.037349091
4,1009_AR,3625.24,3120.53,82.199996948,3490.6,0.1596,0.0001524,3149.0,0.062,0.0001524,0.073,0.1596,1185.995446875,4.112800927,55.1256861424323,3149.000123437,0.200000003,255.13200625,858.935000863,0.661599994,2,186.350903314
5,1009_AR_FPZ,3625.24,3120.53,79.400001526,3490.6,0.1596,0.0001524,3149.0,0.062,0.0001524,0.073,0.1596,901.919447266,20.224315985,75.0639715687156,3149.000123437,0.0,255.13200625,858.935000863,0.661599994,2,240.285156779
6,100_URM_INJ,3870.0,3133.0,100.0,3344.863028571429,0.15573714285714282,0.00010223862857142857,2938.4441242937855,0.062795293220339,0.00011374395480225989,0.07370225988700564,0.15823502824858754,285.943002344,1.000000027,88.1868872236737,0.0,0.0,285.943002344,833.945999661,0.993130028,0,167.719084989
7,1010_AR,4003.0,3094.83,93.150001526,3558.2,0.1596,0.0001524,3092.0,0.062,0.0001524,0.073,0.1596,1384.959119727,3.288748328,20.1043919895286,3092.000142187,0.109999999,255.13200625,858.935000863,0.661599994,2,109.862352758
8,1011_AR,3200.0,3111.43,47.200000763,3158.0,0.1596,0.0001524,2899.97,0.062,0.0001524,0.073,0.1596,1032.332244531,0.813329273,78.2027093634354,2899.969891406,0.0,255.13200625,858.935000863,0.661599994,2,192.234642504
9,1012_AR,3266.0,3252.97,85.599998474,3097.0,0.1596,0.0001524,2967.5,0.062,0.0001524,0.073,0.1596,746.204774219,2.029685471,52.0930908855505,2967.500057813,0.430000007,255.13200625,858.935000863,0.661599994,2,193.215276924
